"Mini-Application Name","Mini-Application Version","Number of MPI ranks","OpenMP not enabled","nx","ny","nz","Number of iterations","Final residual","Total Time","DDOT Time","WAXPBY Time","SPARSEMV Time","Total FLOPS","DDOT FLOPS","WAXPBY FLOPS","SPARSEMV FLOPS","Total MFLOPS","DDOT MFLOPS","WAXPBY MFLOPS","SPARSEMV MFLOPS","Min DDOT MPI_Allreduce time","Max DDOT MPI_Allreduce time","Avg DDOT MPI_Allreduce time","SPARSEMV MFLOPS W OVERHEAD","SPARSEMV PARALLEL OVERHEAD Time","SPARSEMV PARALLEL OVERHEAD Pct","SPARSEMV PARALLEL OVERHEAD Setup Time","SPARSEMV PARALLEL OVERHEAD Setup Pct","SPARSEMV PARALLEL OVERHEAD Bdry Exch Time","SPARSEMV PARALLEL OVERHEAD Bdry Exch Pct"
"hpccg",1,2,,128,128,128,149,1.25683e-18,86.6109,2.98861,6.85423,76.6974,39996900000,2499810000,3749710000,33747400000,461.8,836.443,547.065,440.007,0.576887,1.26482,0.920854,436.935,0.539204,0.69812,0.483875,0.626484,0.0553291,0.0716359
"hpccg",1,2,,16,16,16,149,2.18054e-43,0.143825,0.013621,0.0114901,0.114369,78118900,4882430,7323650,65912800,543.154,358.45,637.389,576.318,0.00500238,0.0107271,0.00786473,555.538,0.00427804,3.60569,0.00151849,1.27984,0.00275955,2.32585
"hpccg",1,2,,32,32,32,149,2.37168e-28,1.16038,0.0598394,0.115108,0.970939,624951000,39059500,58589200,527303000,538.573,652.738,508.993,543.085,0.00995614,0.0289857,0.0194709,531.716,0.0207608,2.09345,0.00873816,0.88113,0.0120226,1.21232
"hpccg",1,2,,64,64,64,149,1.35845e-20,10.5519,0.321657,0.882774,9.32617,4999610000,312476000,468713000,4218420000,473.813,971.456,530.955,452.321,0.0152901,0.168562,0.0919261,448.475,0.0799681,0.85017,0.0624762,0.664207,0.0174919,0.185963
"hpccg",1,2,,8,8,8,149,1.5698e-76,0.0136665,0.00201032,0.00140802,0.00828229,9764860,610304,915456,8239100,714.513,303.586,650.171,994.786,0.00107573,0.00137061,0.00122317,877.479,0.00110723,11.7922,0.000361257,3.84745,0.000745978,7.94479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hpccg",1,4,,16,16,16,149,6.96551e-37,0.192201,0.0329025,0.0140268,0.138123,156238000,9764860,14647300,131826000,812.886,296.782,1044.23,954.406,0.0086175,0.0225364,0.0156996,903.349,0.00780678,5.34967,0.00429583,2.94376,0.00351095,2.40591
"hpccg",1,4,,32,32,32,149,7.27209e-25,1.65666,0.139984,0.211703,1.28533,1249900000,78118900,117178000,1054610000,754.472,558.054,553.505,820.496,0.0152744,0.0657563,0.0453321,801.811,0.029953,2.27731,0.015876,1.20705,0.014077,1.07027
"hpccg",1,4,,64,64,64,149,1.58088e-19,13.5125,0.671467,1.84876,10.9431,9999220000,624951000,937427000,8436840000,740,930.725,507.057,770.976,0.170479,0.367079,0.279128,762.527,0.121257,1.09592,0.0817679,0.739023,0.0394887,0.356901
"hpccg",1,4,,8,8,8,149,1.12816e-62,0.0266974,0.00740509,0.00169858,0.0124886,19529700,1220610,1830910,16478200,731.521,164.834,1077.91,1319.46,0.00366047,0.00890912,0.00571504,995.486,0.00406436,24.5537,0.000862766,5.21217,0.0032016,19.3416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hpccg",1,8,,16,16,16,149,1.92995e-32,0.604673,0.351305,0.0296308,0.132292,312476000,19529700,29294600,263651000,516.768,55.592,988.654,1992.96,0.194908,0.35021,0.268859,1137.46,0.0994983,42.9261,0.0128504,5.54401,0.0866478,37.3821
"hpccg",1,8,,32,32,32,149,1.20172e-21,3.87718,2.21517,0.195396,1.30316,2499810000,156238000,234357000,2109210000,644.748,70.5308,1199.4,1618.53,0.747957,2.14568,1.27194,1417.56,0.184748,12.4166,0.0279594,1.8791,0.156789,10.5375
"hpccg",1,8,,64,64,64,149,4.19167e-19,27.2882,4.18059,1.77984,20.937,19998400000,1249900000,1874850000,16873700000,732.861,298.977,1053.38,805.928,1.73327,3.76097,2.85567,784.776,0.564316,2.62457,0.19845,0.92297,0.365866,1.7016
"hpccg",1,8,,8,8,8,149,3.07885e-54,0.112095,0.0829107,0.00412429,0.0133497,39059500,2441220,3661820,32956400,348.45,29.4439,887.868,2468.7,0.0479139,0.0816395,0.0598332,1343.03,0.0111891,45.5975,0.00147636,6.01644,0.00971272,39.5811
